nationality,,religion,,politics,,philosophy,,character traits,,relationships,,other
,,,,,,,,,,,,
Afghans,,Christianity ,,communism,,absolutism ,,absessive,,monogamony,,aliens
Albanians,,Islam ,,DemocraticParty,,activism,,Active,,polygamy,,flatearth
Algerians,,Nonreligious ,,GreenParty,,actualism,,adaptable,,single,,skateordie
Americans,,Hinduism ,,IndependentParty,,aethetics,,Adventurous,,inrelationship,,globalwarming
Andorrans,,Chinesetraditionalreligion ,,LibertarianParty,,bioconservatism,,Affectionate,,openrelationship,,420friendly
Angolans,,Buddhism,,PeaceandFreedom,,bushido,,aggressive,,married,,tattooed
AntiguansandBarbudans,,Primalindigenous ,,RepublicanParty,,capitalism,,agreeable,,gay,,familyoriented
Argentines,,AfricantraditionalandDiasporic ,,socialist,,chaostheory,,aloof,,lesbian,,karma
Armenians,,Sikhism,,progun,,consequentialism,,Ambitious,,transgender,,
Arubans,,Juche ,,prolife,,cynicism,,amusing,,socialnetworking,,
Australians,,Spiritism ,,prochoice,,daoism,,articulate,,dating,,
Austrians,,Judaism ,,cleanenergy,,denialism,,Authority,,professionalnetworking,,
Azerbaijanis,,Bahai ,,commansensegunlaws,,deontology,,balanced,,hookup,,
Bahamians,,Jainism ,,legalizeit,,discordianism,,bitchy,,onenightstand,,
Bahrainis,,Shinto ,,,,empriricism,,blunt,,straight,,
Bangladeshis,,CaoDai,,,,environmentalism,,Bold,,bisexual,,
Barbadians,,Zoroastrianism ,,,,ethics,,Bossy,,lookingforrelationship,,
Basques,,Tenrikyo ,,,,evangelism,,Brave,,,,
Belarusians,,NeoPaganism ,,,,existentialism,,bright,,,,
Belgians,,UnitarianUniversalism ,,,,fascism,,brilliant,,,,
Belizeans,,Agnostic,,,,feminism,,calculated,,,,
Beninese,,Atheist,,,,freewill,,capable,,,,
Bermudians,,candomble,,,,germanidealism,,careful,,,,
Bhutanese,,rasatafari,,,,hedonism,,caring,,,,
Bolivians,,mormonism,,,,holism,,chariming,,,,
Bosniaks,,sateria,,,,idealism,,Charisma,,,,
BosniansandHerzegovinians,,spiritualism,,,,idealisticrationalism,,charming,,,,
Botswana,,jahovahswitness,,,,individualism,,chatty,,,,
Brazilians,,paganism ,,,,instrumentalism,,clever,,,,
Bretons,,taoism,,,,kaizen,,compassionate,,,,
British,,satanic,,,,metaphysics,,compulsive,,,,
BritishVirginIslanders,,,,,,modernism,,Confident,,,,
Bruneians,,,,,,nationalism,,conscientious,,,,
Bulgarians,,,,,,newage,,considerate,,,,
MacedonianBulgarians,,,,,,nihilism,,Cooperative,,,,
Burkinabés,,,,,,opportunistic,,Courageous,,,,
Burmese,,,,,,pacifist,,courteous,,,,
Burundians,,,,,,perfectionism,,crafty,,,,
Cambodians,,,,,,perspectism,,creative,,,,
Cameroonians,,,,,,perspectivism,,cunning,,,,
Canadians,,,,,,phenomenology,,curious,,,,
Catalans,,,,,,positivity,,Daring,,,,
CapeVerdeans,,,,,,pragmatism,,daring,,,,
Chadians,,,,,,racism,,Dauntless,,,,
Chileans,,,,,,rationalism,,decent,,,,
Chinese,,,,,,realism,,Decisive,,,,
Colombians,,,,,,transcendentalism,,decisive,,,,
Comorians,,,,,,transcentialidealism,,dependable,,,,
Congolese,,,,,,universalism,,Determined,,,,
CostaRicans,,,,,,utilitarianism,,Devoted,,,,
Croatians,,,,,,utilitarianism,,dignified,,,,
Cubans,,,,,,utopianism,,diligent,,,,
Cypriots,,,,,,zen,,disciplined,,,,
Czechs,,,,,,,,discreet,,,,
Danes,,,,,,,,Dominant,,,,
Greenlanders,,,,,,,,easygoing,,,,
Djiboutians,,,,,,,,educated,,,,
DominicansCommonwealth,,,,,,,,efficient,,,,
DominicansRepublic,,,,,,,,eloquent,,,,
Dutch,,,,,,,,energetic,,,,
EastTimorese,,,,,,,,Enthusiastic,,,,
Ecuadorians,,,,,,,,extravagant,,,,
Egyptians,,,,,,,,extreme,,,,
Emiratis,,,,,,,,Fair,,,,
English,,,,,,,,Faithful,,,,
Equatoguineans,,,,,,,,fanatic,,,,
Eritreans,,,,,,,,Fearless,,,,
Estonians,,,,,,,,Fidgety,,,,
Ethiopians,,,,,,,,firm,,,,
FalklandIslanders,,,,,,,,flexible,,,,
Faroese,,,,,,,,focused,,,,
Fijians,,,,,,,,frank,,,,
Finns,,,,,,,,friendly,,,,
FinnishSwedish,,,,,,,,Funny,,,,
Filipinos,,,,,,,,Generous,,,,
