job title,,company,,field / industry / skills / awards,,major,,colleges,,skills/ interest/ awards
,,,,,,,,,,
MarketingManager,,ABB,,accelerator,,Accounting,,AmericanUniversity,,MathClub
MarketingDirector,,AbbottLaboratories,,Accounting,,ActuarialScience,,ArizonaStateUniversity,,MathHonorSociety
GraphicDesigner,,AbbVie,,activist,,Advertising,,AuburnUniversity,,NationalHonorSociety
MarketingResearchAnalyst,,Accenture,,adultentertainment,,AgriculturalBusinessManagement,,BaylorUniversity,,PeerTutoring
MarketingCommunicationsManager,,Achmea,,Advertising,,AgriculturalEngineering,,BinghamtonUniversityStateUniversityofNewYork,,QuillandScroll
MarketingConsultant,,ACS,,Aerospace,,Agriculture,,BostonCollege,,RoboticsClub
ProductManager,,AdeccoGroup,,Agriculture,,AgricultureEconomics,,BostonUniversity,,ScienceNationalHonorsSociety
PublicRelations,,Adidas,,Airlines,,AnimalBioscience,,BrandeisUniversity,,TriviaClubs
SocialMediaAssistant,,Aegon,,AlcoholicBeverages,,AnimalSciences,,BrighamYoungUniversity,,AcademicDecathlon
BrandManager,,AEON,,AlternativeEnergy,,animation,,BrownUniversity,,AcademicTriathlon
SEOManager,,Aetna,,Animation,,Anthropology,,CaliforniaInstituteofTechnology,,AmericanMathematicsCompetitions
ContentMarketingManager,,AgriculturalBankofchina,,Architecture,,AppliedMathematics,,CaliforniaPolytechnicStateUniversitySanLuisObispo,,AmericanRegionsMathLeague
Copywriter,,AIAGroup,,Art,,Archaeology,,CaliforniaStatePolytechnicUniversityPomona,,CaribouMathematicsCompetition
MediaBuyer,,AIG,,Automotive,,ArchitecturalEngineering,,CaliforniaStateUniversityFullerton,,ChemistryOlympiad
DigitalMarketingManager,,AirbusGroup,,Banking,,ArchitecturalEnvironmentalDesign,,CaliforniaStateUniversityLongBeach,,CleanTechCompetition
eCommerceMarketingSpecialist,,AirFranceKLMGroup,,Bars,,Architecture,,CaliforniaStateUniversityNorthridge,,CreativeCommunicationPoetryContest
BrandStrategist,,AisinSeiki,,Beverage,,ArtEducation,,CaliforniaStateUniversitySacramento,,EconChallenge
VicePresidentofMarketing,,AlbertsonsCos,,BookPublishing,,ArtHistory,,CarletonUniversity,,EducatorsRising
MediaRelationsCoordinator,,AlibabaGroupHolding,,broadcasting,,astronomy,,CarnegieMellonUniversity,,FIRSTRoboticsCompetition
AdministrativeAssistant,,AlimentationCoucheTard,,Builders,,BiobehavioralHealth,,CaseWesternReserveUniversity,,HighSchoolInnovationChallenge
Receptionist,,Allianz,,BuildingEquipment,,Biochemistry,,ClemsonUniversity,,IntelInternationalScienceandEngineeringFair
OfficeManager,,Allstate,,BusinessAssociations,,Bioengineering,,CollegeofWilliamMary,,KidsPhilosophySlam
AuditingClerk,,Alphabet,,BusinessServices,,Biology,,ColoradoStateUniversity,,MathLeague
Bookkeeper,,Altice,,CandidateCommittee,,Biophysics,,ColumbiaUniversityintheCityofNewYork,,NationalAcademicQuizTournament
AccountExecutive,,AluminumCorpofChina,,CarDealers,,Biotechnology,,ConcordiaUniversity,,NationalFrenchContest
BranchManager,,Amazon,,CarManufacturers,,BusinessAdministrationandManagement,,CornellUniversity,,NationalHistoryBee
BusinessManager,,AmericaMovil,,Casinos,,BusinessLogistics,,DalhousieUniversity,,NationalSpellingBee
QualityControlCoordinator,,AmericanAirlinesGroup,,ChemicalManufacturing,,ChemicalEngineering,,DartmouthCollege,,OdysseyoftheMind
AdministrativeManager,,AmericanExpress,,Chiropractors,,Chemistry,,DePaulUniversity,,PoetryOutLoud
ChiefExecutiveOfficer,,AmerInternationalGroup,,ClothingManufacturing,,Children,,DrexelUniversity,,QuestionsUnlimited
BusinessAnalyst,,AmerisourceBergen,,CoalMining,,CityUrbanRegionalPlanning,,DukeUniversity,,QuizBowl
RiskManager,,Andeavor,,commercialConstruction,,CivilEngineering,,EmoryUniversity,,ScienceBowl
HumanResources,,AngloAmerican,,Communications,,ComputerEngineering,,FloridaAtlanticUniversity,,ScienceOlympiad
