music genre,,music act,,book genre,,books,,authors,,podcast genres,,podcast,,podcast creator,,genre,,movies,,tv genre,,tv shows,,standup comedians,,streaming service original content
,,,,,,,,,,,,,,,,,,,,,,,,,,
Alternativerock,,21Savage,,Fiction,,AChristmasCarol,,JRRTolkien,,crimeandmysterypodcast,,FestandFlauschig,,Joerogan,,Action,,12AngryMen,,,,24,,AlbertBrooks,,youtube
Ambientmusic,,5SecondsofSummer,,Actionandadventure,,AFineBalanceRohintonMistry,,JaneAusten,,comedypodcast,,TheJoeBuddenPodcastwithRoryandMal,,amyschumer,,Adventure,,2001ASpaceOdyssey,,,,30Rock,,AmySchumer,,LoganPaul
Artmusic,,AaronSmith,,Alternatehistory,,AlicesAdventuresInWonderland,,PhilipPullman,,newsandpoliticspodcast,,Dissect,,joebudden,,Animation,,AClockworkOrange,,,,AllintheFamily,,AndyKaufman,,PewDiePie
Baroquemusic,,ABoogieWitdaHoodie,,Anthology,,AllQuietOnTheWesternFrontErichMariaRemarque,,DouglasAdams,,healthpodcast,,AmySchumerPresents3girls1Keith,,benshapiro,,Comedy,,afrosamurai,,,,AmericanCrimeStoryThePeoplevsOJSimpson,,AzizAnsari,,Jacksepticeye
basshouse,,AlanWalker,,Chicklit,,AmericanPsychoBretEastonEllis,,JKRowling,,artspodcast,,TALKOMAT,,nikkiglaser,,Crime,,Airplane,,,,AmericanIdol,,BernieMac,,VanossGaming
bassmusic,,AlecBenjamin,,Childrensliterature,,AngusThongsAndFullFrontalSnoggingLouiseRennison,,HarperLee,,,,TheDropout,,,,Drama,,akira,,,,ArrestedDevelopment,,BillBurr,,Markiplier
bigroomhouse,,Amenazzy,,Comicbook,,AnimalFarm,,AAMilne,,,,TheBellasPodcast,,,,Fantasy,,alien,,,,BattlestarGalactica,,BillCosby,,JeffreeStar
Blues,,AnneMarie,,Comingofage,,AnnaKarenina,,GeorgeOrwell,,,,Blackout,,,,Historical,,AllAboutEve,,,,BeavisandButtHead,,BillHicks,,DanTDM
Breakbeat,,AnuelAa,,Crime,,AnneOfGreenGables,,CSLewis,,,,TheJoeRoganExperience,,,,Historicalfiction,,AllthePresidentsMen,,,,BreakingBad,,BillyConnolly,,DudePerfect
Chant,,ArianaGrande,,Drama,,APrayerForOwenMeany,,CharlotteBronte,,,,ToLiveandDieinLA,,,,Horror,,AlmostFamous,,,,BroadCity,,BobNewhart,,JakePaul
Classicalmusic,,AvaMax,,Fairytale,,ArtemisFowlEoinColfer,,JosephHeller,,,,Serial,,,,Liveaction,,Amadeus,,,,BuffytheVampireSlayer,,ChrisRock,,RyanToysReview
Countrymusic,,BadBunny,,Fantasy,,ASuitableBoy,,EmilyBrontë,,,,CrimeJunkie,,,,Magicalrealism,,Amelie,,,,ChappellesShow,,DanielKitson,,twitch
coverbands,,Bazzi,,Graphicnovel,,ATaleOfTwoCitiesCharlesDickens,,SebastianFaulks,,,,SnacksDaily,,,,Mystery,,AmericanBeauty,,,,Cheers,,DaveChappelle,,KittyPlays
Dancemusic,,BebeRexha,,Historicalfiction,,AtonementIanMcEwan,,DaphneduMaurier,,,,RootofEvil,,,,ParanoidFiction,,AnnieHall,,,,Columbo,,DickGregory,,Dyrus
Disco,,BeckyG,,Horror,,ATownLikeAlice,,JDSalinger,,,,TheDaily,,,,Philosophical,,ApocalypseNow,,,,CurbYourEnthusiasm,,DonRickles,,loltyler1
Drumandbass,,bennyblanco,,Mystery,,BadGirlsJacquelineWilson,,KennethGrahame,,,,Survival,,,,Political,,Avatar,,,,Dallas,,EddieIzzard,,Pokimane
Dub,,BillieEilish,,Paranormalromance,,BehindTheScenesAtTheMuseumKateAtkinson,,CharlesDickens,,,,OverMyDeadBody,,,,Romance,,BacktotheFuture,,,,Deadwood,,EddieMurphy,,Sodapoppin
Dubstep,,Blueface,,Picturebook,,Birdsong,,LouisaMayAlcott,,,,TEDTalksDaily,,,,Saga,,BeautyandtheBeast,,,,DoctorWho,,ElayneBoosler,,LIRIK
Electro,,BTS,,Poetry,,BlackBeautyAnnaSewell,,LouisdeBernieres,,,,DrDeath,,,,Satire,,BladeRunner,,,,DowntonAbbey,,FreddiePrinze,,Nightblue3
Electronicdancemusic,,Calboy,,Politicalthriller,,BleakHouseCharlesDickens,,LeoTolstoy,,,,Cold,,,,Sciencefiction,,BlazingSaddles,,,,EastboundandDown,,GarryShandling,,Imaqtpie
Experimentalmusic,,CalvinHarris,,Romance,,BraveNewWorldAldousHuxley,,MargaretMitchell,,,,TheBenShapiroShow,,,,Social,,BonnieandClyde,,,,ER,,GeorgeCarlin,,Dakotaz
Folkmusic,,CamilaCabello,,Satire,,BridesheadRevisited,,ThomasHardy,,,,AtlantaMonster,,,,Speculative,,Braveheart,,,,Fargo,,JaneaneGarofalo,,
Funk,,CapitalBra,,Sciencefiction,,BridgetJonessDiaryHelenFielding,,GeorgeEliot,,,,Disgraceland,,,,Thriller,,BrokebackMountain,,,,FawltyTowers,,JerrySeinfeld,,
Gospelmusic,,CardiB,,Shortstory,,CaptainCorellisMandolin,,JohnIrving,,,,ArmchairExpertwithDaxShepard,,,,Urban,,ButchCassidyandtheSundanceKid,,,,FreaksandGeeks,,JoanRivers,,
Grunge,,ChocQuibTown,,Suspense,,Catch22,,JohnSteinbeck,,,,OnPurposewithJayShetty,,,,Western,,Casablanca,,,,FridayNightLights,,JonathanWinters,,
Hardcore,,CleanBandit,,Thriller,,CharlieAndTheChocolateFactory,,LewisCarroll,,,,CallHerDaddy,,,,Videogame,,Chinatown,,,,Friends,,KevinHart,,
Hardrock,,Coldplay,,Youngadult,,CharlottesWebEBWhite,,JacquelineWilson,,,,PhilintheBlanks,,,,anime,,CitizenKane,,,,GameofThrones,,LennyBruce,,
Hardstyle,,DaddyYankee,,Nonfiction,,ColdComfortFarmStellaGibbons,,GabrielGarcíaMárquez,,,,MyFavoriteMurder,,,,,,CloseEncountersoftheThirdKind,,,,Girls,,LouisCK,,
Heavymetalmusic,,Dalex,,Art,,CrimeAndPunishmentFyodorDostoyevsky,,KenFollett,,,,PhilosophizeThis,,,,,,cowboybebop,,,,GoodTimes,,MargaretCho,,
Hiphop,,DavidGuetta,,Autobiography,,CrossStitchDianaGabaldon,,RoaldDahl,,,,ThisAmericanLife,,,,,,DieHard,,,,Gunsmoke,,MitchHedberg,,
Housemusic,,DeanLewis,,Biography,,DannyTheChampionOfTheWorldRoaldDahl,,RobertLouisStevenson,,,,Oprahssupersoulconversations,,,,,,DoctorZhivago,,,,HappyDays,,MomsMabley,,
Indierock,,DJSnake,,Bookreview,,DavidCopperfield,,NevilShute,,,,thedaveramseyshow,,,,,,DrStrangeloveorHowILearnedtoStopWorryingandLovetheBomb,,,,HillStreetBlues,,MortSahl,,
Industrialmusic,,Drake,,Cookbook,,DoubleActJacquelineWilson,,JaneAusten,,,,upandvanished,,,,,,drunkenmaster,,,,Homeland,,PatriceONeal,,
Instrumental,,DuaLipa,,Diary,,DraculaBramStoker,,FrankHerbert,,,,dirtyjohn,,,,,,EternalSunshineoftheSpotlessMind,,,,HouseofCards,,PattonOswalt,,
Jazz,,Dynoro,,Dictionary,,Dune,,LMMontgomery,,,,hiddenbrain,,,,,,ETTheExtraTerrestrial,,,,ILoveLucy,,PhyllisDiller,,
mumblerap,,EdSheeran,,Encyclopedia,,DustbinBabyJacquelineWilson,,RichardAdams,,,,inthedark,,,,,,Fargo,,,,InLivingColor,,ReddFoxx,,
Musicaltheatre,,EllieGoulding,,Guide,,EastOfEdenJohnSteinbeck,,FScottFitzgerald,,,,theronburgundypodcast,,,,,,FerrisBuellersDayOff,,,,Jeopardy,,ReggieWatts,,
MusicofAfrica,,Eno,,Health,,Emma,,AlexandreDumas,,,,theuncertainhour,,,,,,FightClub,,,,KeyandPeele,,RichardPryor,,
Orchestra,,Fero47,,History,,FantasticMrFoxRoaldDahl,,EvelynWaugh,,,,stuffyoushouldknow,,,,,,ForrestGump,,,,LateNightWithConanOBrien,,RobertKlein,,
Popmusic,,FLETCHER,,Journal,,FarFromTheMaddingCrowd,,ThomasHardy,,,,worklifewithadamgrant,,,,,,Ghostbusters,,,,LateNightWithDavidLetterman,,RobinWilliams,,
Poprock,,FlippDinero,,Math,,FlowersInTheAtticVirginiaAndrews,,MichelleMagorian,,,,casefiletruecrime,,,,,,ghostintheshell,,,,LawandOrder,,RodneyDangerfield,,
progressivehouse,,GeorgeEzra,,Memoir,,FrankensteinMaryShelley,,RosamundePilcher,,,,deepakchoprasinfinitepotential,,,,,,Gladiator,,,,Lost,,RoseanneBarr,,
Progressivemusic,,GucciMane,,Prayer,,GeorgesMarvellousMedicineRoaldDahl,,FrancesHodgsonBurnett,,,,risepodcast,,,,,,GoneWiththeWind,,,,Louie,,RussellPeters,,
Progressiverock,,Halsey,,Religionspiritualityandnewage,,GirlsInLoveJacquelineWilson,,StephenKing,,,,stown,,,,,,Goodfellas,,,,MadMen,,SamKinison,,
Psychedelicmusic,,HER,,Textbook,,GirlsInTearsJacquelineWilson,,LeoTolstoy,,,,howibuiltthiswithguyraz,,,,,,GoodWillHunting,,,,MASH,,SarahSilverman,,
Punkrock,,ImagineDragons,,Review,,GirlsOutLateJacquelineWilson,,VikramSeth,,,,upfirst,,,,,,GroundhogDay,,,,MontyPythonsFlyingCircus,,SteveMartin,,
rap,,JamesArthur,,Science,,GonewiththeWind,,,,,,throughline,,,,,,ihearthuckabees,,,,MrShow,,StevenWright,,
Reggae,,JBalvin,,Selfhelp,,GoodnightMisterTom,,,,,,duolingospanishpodcast,,,,,,Inception,,,,MySoCalledLife,,TigNotaro,,
Rhythmandblues,,JCole,,Travel,,GoodOmensTerryPratchettandNeilGaiman,,,,,,parentingdifficultconversations,,,,,,ItsaWonderfulLife,,,,MysteryScienceTheater3000,,WandaSykes,,
Rock,,JonasBlue,,Truecrime,,GoosebumpsRLStine,,,,,,terriblethanksforasking,,,,,,Jaws,,,,NYPDBlue,,WoodyAllen,,
Singing,,JonasBrothers,,,,GormenghastMervynPeake,,,,,,beforebreakfast,,,,,,JurassicPark,,,,OrangeIstheNewBlack,,standupcomedy,,
Ska,,JuiceWRLD,,,,GreatExpectations,,,,,,podsaveamerica,,,,,,killbill,,,,Oz,,,,
Soulmusic,,KarolG,,,,GuardsGuardsTerryPratchett,,,,,,brokenrecord,,,,,,LawrenceofArabia,,,,PartyDown,,,,
Soundtrack,,Kehlani,,,,HarryPotterAndTheChamberOfSecrets,,,,,,conanobrienneedsafriend,,,,,,MaryPoppins,,,,Portlandia,,,,
