sports,,hobbies,,console games,,phone games
,,,,,,
,,,,,,
ArmWrestling,,airsoft,,AnimalCrossing,,
Ballet,,AmateurRadio,,BanjoKazooie,,
Baseball,,AntiqueBookandManuscriptCollecting,,BatmanArkhamAsylum,,
Basketball,,AntiqueCarCollecting,,Bayonetta,,
Bicycling,,Antiquing,,BeyondGoodandEvil,,
BMX,,AquariumKeeping,,BioShock,,
Boxing,,Archery,,Braid,,
boxing,,art,,CartLife,,
Calisthenics,,ArtCollecting,,Castlevania,,
Crossfit,,Astronomy,,ChronoTrigger,,
Diving,,automechanic,,ConkersBadFurDay,,
escrima,,Backpacking,,DarkSouls,,
Football,,Baking,,Dishonored,,
Gymnastics,,Beekeeping,,Doom,,
Hockey,,Billiards,,EarthBound,,
Hurdles,,BirdWatching,,EliteBeatAgents,,
iceskating,,blackjack,,Fallout,,
Isometrics,,BoardGames,,FinalFantasy,,
Jogging,,BookClub,,Firewatch,,
juijitsu,,BreadMaking,,fortnite,,
Jumping,,Calligraphy,,Galaga,,
JumpingRope,,Camping,,Goldeneye007,,
karate,,Canoeing,,GoneHome,,
Kayaking,,CardGames,,GrandTheftAuto,,
kravmaga,,CarpetandTapestryWeaving,,granturismo,,
KungFu,,cars,,GrimFandango,,
MarathonRunning,,CheeseMaking,,HalfLife,,
MartialArts,,Chess,,Halo,,
MMA,,circusarts,,HellbladeSenuasSacrifice,,
mountainbiking,,Cobbling,,Hitman,,
Mountaineering,,CoinCollecting,,HotlineMiami,,
muaythai,,collecting,,Ico,,
pingpong,,Composting,,Inside,,
PoleDancing,,ComputerProgramming,,JackboxPartyPack,,
PoleVaulting,,Cooking,,JetSetRadio,,
Powerlifting,,Cosplaying,,Journey,,
RockClimbing,,CreativeWriting,,KatamariDamarcy,,
rollerblading,,Crocheting,,KentuckyRouteZero,,
rollerskating,,crosswords,,Killer7,,
rowing,,Dancing,,Left4Dead,,
Skateboarding,,DesigningandMakingClothes,,MassEffect,,
Skiing,,discogolf,,MaxPayne,,
Snowboarding,,Drawing,,MegaMan,,
Soccer,,Embroidery,,Metroid,,
Sprinting,,farming,,MissileCommand,,
SuperSquats,,Fishing,,mortalkombat,,
Surfing,,foraging,,needforspeed,,
swimming,,FurnitureBuilding,,Nier,,
SwordFighting,,gambling,,NinjaGaiden,,
taekwondo,,gardening,,Ōkami,,
TaiChi,,Genealogy,,PaperMarioTheThousandYearDoor,,
taichi,,Geocaching,,PhantasyStar,,
Tennis,,GingerbreadHouseMaking,,Planescape,,
trackandfield,,golf,,Portal,,
Triathlons,,hackysack,,Psychonauts,,
Volleyball,,Hiking,,RedDeadRedemption,,
wakeboarding,,HobbyHorsing,,ResidentEvil,,
Walking,,Homebrewing,,RockBand,,
WaterAerobics,,HomeImprovement,,rollercoastertycoon,,
WaterSkiing,,HomeScienceExperiments,,ShadowoftheColossus,,
Wrestling,,HulaHooping,,SilentHill,,
Yoga,,Hunting,,sims,,
Zumba,,JewelryMaking,,soulcaliber,,
kiteboarding,,jigsaw,,SpecOps,,
windsurfing,,Journaling,,Spelunky,,
,,Juggling,,StarCraft,,
,,KiteFlying,,StarFox,,
,,Knitting,,StreetFighterII,,
,,LanguageLearning,,StreetsofRage,,
,,LARPing,,SuperMario,,
,,LeafCollectingandPressing,,SuperMarioGalaxy,,
,,LeatherTooling,,SuperMarioKart,,
,,LEGO,,SuperMarioRPG,,
,,Makeup,,SuperMarioWorld,,
,,MemorabiliaCollecting,,supersmashbros,,
,,MetalDetecting,,Tetris,,
,,MetalWorking,,TheBindingofIsaac,,
,,Meteorology,,TheLastofUs,,
,,Mixology,,TheLegendofZelda,,
,,ModelBuilding,,TheTalosPrinciple,,
,,ModelRailroads,,TheWalkingDead,,
,,motorcycles,,TheWitcher,,
,,musicproduction,,TheWitness,,
,,Origami,,ThreeFourthsHome,,
,,paintball,,Titanfall,,
,,Painting,,Uncharted,,
,,Parkour,,ViewtifulJoe,,
,,Photography,,WarioWare,,
,,PlayinganInstrument,,XenobladeChronicles,,
,,PodcastHosting,,,,
,,poker,,,,
,,PostcardCollecting,,,,
,,Pottery,,,,
,,Puzzles,,,,
,,Quilting,,,,
,,RecordCollecting,,,,
,,RockTumbling,,,,
,,Running,,,,
,,SandCastleMaking,,,,
,,Scrapbooking,,,,
,,ShellandSeaGlassCollecting,,,,
,,ShoeCollecting,,,,
,,SportsMemorabiliaCollecting,,,,
,,StampCollecting,,,,
,,Sudoku,,,,
,,SurvivalistPrepping,,,,
,,TableTennis,,,,
,,texasholdem,,,,
,,Thrifting,,,,
,,ToyCollecting,,,,
,,Travel,,,,
,,Trivia,,,,
,,ultimatefrisbee,,,,
,,VideoGames,,,,
,,VintageClothingCollecting,,,,
,,Volunteering,,,,
,,Welding,,,,
,,WikipediaEditing,,,,
,,WineMaking,,,,
,,WoodCarving,,,,
,,drinking ,,,,
,,partying,,,,
,,foodie,,,,
,,wineo,,,,
,,chilling,,,,
,,napping,,,,
,,sleeping,,,,
,,hangingwithfriends,,,,
,,obstaclecourses,,,,
,,shopping,,,,
